,Method,Optimization,Mean,Lower Bound,Upper Bound
0,Remove Random,Absolute Residuals,561.4659460834296,508.34756909249575,614.5843230743634
10,Remove Random,Absolute Residuals,6899.077518548164,-5605.654735529429,19403.80977262576
20,Remove Random,Absolute Residuals,500984955856816.4,-493077886002087.9,1495047797715720.5
30,Remove Random,Absolute Residuals,4.966902992723083e+60,-4.888510121937264e+60,1.482231610738343e+61
40,Remove Random,Absolute Residuals,1.0753180594738708e+87,-1.0583462623976068e+87,3.208982381345348e+87
50,Remove Random,Absolute Residuals,1.998255311726635e+17,-1.3598812391449664e+17,5.356391862598236e+17
60,Remove Random,Absolute Residuals,5.607831418180536e+55,-5.51932274297626e+55,1.6734985579337331e+56
0,Remove Random,Sum Residuals,590.1279908880513,538.6567234311763,641.5992583449263
10,Remove Random,Sum Residuals,569.6045226189374,505.3610451603636,633.8480000775112
20,Remove Random,Sum Residuals,5.647441099214391e+43,-5.341769669899797e+43,1.6636651868328577e+44
30,Remove Random,Sum Residuals,2.1074163192224367e+102,-2.074154865264756e+102,6.28898750370963e+102
40,Remove Random,Sum Residuals,6.769647200291378e+66,-6.662801530260071e+66,2.0202095930842828e+67
50,Remove Random,Sum Residuals,6.423456720715987e+142,-6.322074991811047e+142,1.9168988433243023e+143
60,Remove Random,Sum Residuals,2.9267313961131954e+36,-2.880538652064501e+36,8.734001444290892e+36
40+60,Combine,Absolute Residuals,6.989548680936379e+149,-6.879232295172739e+149,2.0858329657045497e+150
40+60,Combine,Sum Residuals,1.1584012719363559e+39,-1.1401181684889809e+39,3.456920712361693e+39
20,Remove Last,Absolute Residuals,537.7614386795819,472.1562492596796,603.3666280994843
50,Remove Last,Absolute Residuals,515.8700061820211,444.5961476245134,587.1438647395289
20,Remove Last,Sum Residuals,490.3569811661045,430.8537925305789,549.8601698016301
50,Remove Last,Sum Residuals,52520694.210204795,-51689250.99331729,156730639.41372687
20,Peaks Predator,Absolute Residuals,535.3093789385586,477.8549755301031,592.763782347014
50,Peaks Predator,Absolute Residuals,4.6362014171094355e+78,-4.563028025327683e+78,1.3835430859546554e+79
20,Peaks Predator,Sum Residuals,3.8921424374684296e+16,-3.8307125646426456e+16,1.1614997439579504e+17
50,Peaks Predator,Sum Residuals,1.7037360307548715e+81,-1.6768458823650643e+81,5.084317943874807e+81
